Model 1,Model 2,T-test_stats,T-test_p-value,Wilcoxon_stats,Wilcoxon_p-value,Mann-Whitney_stats,Mann-Whitney_p-value,Kruskal-Wallis_stats,Kruskal-Wallis_p-value,Bootstrap CI_lower,Bootstrap CI_upper
vit-ti16,vit-s32,-0.6185817289383779,0.5363920277449717,2090.0,0.5360133695378217,246397.5,0.6471562735291685,0.20960330578463326,0.6470785066384059,-0.0425886524822695,0.02695035460992908
vit-ti16,vit-b16,-2.500269680533923,0.012636213658894538,1106.0,0.012738072274857487,240757.5,0.08210771598307094,3.023069011985526,0.08208798523632684,-0.06808510638297872,0.00425531914893617
vit-ti16,vit-b32,-0.843101075700617,0.3994582711899064,1865.5,0.3990751965482372,245692.5,0.5399471780127743,0.375770910423217,0.5398753093800415,-0.04968085106382979,0.024113475177304965
vit-ti16,vim-s,-1.47696555867666,0.1401320461001111,1729.0,0.140016503197169,243577.5,0.2772185263347725,1.18091475095824,0.2771698491129385,-0.05390070921985816,0.014219858156028336
vit-ti16,vssm-ti,-3.0017190669126754,0.0027795690190706235,1335.0,0.0028375448887923097,238642.5,0.02481467986825986,5.03728294177622,0.024807369918291154,-0.075177304964539,-0.00425531914893617
vit-ti16,vssm-s,-1.8256042780177706,0.06833338846351393,1540.0,0.06836531288935432,242520.0,0.18409591405651304,1.7645394312055946,0.18405931374286424,-0.06099290780141844,0.01702127659574468
vit-ti16,vssm-b,-2.4379971338725177,0.015015235503036248,1245.0,0.015119932959784704,240757.5,0.08210771598307094,3.023069011985526,0.08208798523632684,-0.06666666666666667,0.002872340425531883
vit-s16,resnet50,-0.3609347187602125,0.7182565280412694,1155.0,0.7179816667337766,247455.0,0.8096040770272401,0.05810548888462275,0.8095157432552769,-0.03971631205673759,0.028368794326241134
vit-s16,vgg16,1.1182325561946271,0.2638491119913603,1417.5,0.2635524772829727,252037.5,0.43566298482484367,0.6078515962045121,0.4355978707083532,-0.019893617021276594,0.04964539007092199
vit-s16,vit-ti16,1.4455602765493931,0.148745567931157,1394.0,0.14861399645521173,253095.0,0.3140483779331158,1.0137942191998408,0.3139955742886642,-0.01705673758865248,0.05251773049645387
vit-s16,vit-s32,0.8817779451699835,0.37819785771869185,896.0,0.3778216371000638,250980.0,0.5827805863738778,0.3018832449349669,0.5827041970658444,-0.024148936170212763,0.04397163120567376
vit-s16,vit-b16,-1.0996882113158883,0.2718438930637373,986.0,0.2715391358765703,245340.0,0.46305195944059196,0.5386772014784333,0.46298145460576134,-0.04539007092198582,0.019858156028368795
vit-s16,vit-b32,0.6296711006361544,0.5291140870727504,928.0,0.5287333251214301,250275.0,0.6934791153291988,0.15543298400330993,0.693396547615801,-0.028404255319148933,0.0425531914893617
vit-s16,vim-s,-0.12208406092524177,0.9028672848983319,1122.0,0.9027648250246224,248160.0,0.936355302850116,0.006394401606671106,0.9362650908523127,-0.03407801418439716,0.032624113475177303
vit-s16,vssm-ti,-1.7345163615679757,0.08326420513282418,1140.0,0.0832645166635504,243225.0,0.21417595438250725,1.5432639649515,0.214132623655954,-0.053936170212765956,0.009964539007092167
vit-s16,vssm-s,-0.49973387738733965,0.6174186240065025,975.0,0.6170750774519738,247102.5,0.7474011995027412,0.1038013850011104,0.7473146508449449,-0.03971631205673759,0.02982269503546096
vit-s16,vssm-b,-1.1165078220434264,0.26458574561322196,924.0,0.2642883452260276,245340.0,0.46305195944059196,0.5386772014784333,0.46298145460576134,-0.04680851063829787,0.019893617021276563
vit-s32,resnet50,-1.0912370852312672,0.2755418994861055,1572.5,0.27523352407483437,244987.5,0.42940808813850573,0.6246010355353477,0.4293426333923832,-0.04964539007092199,0.019858156028368795
vit-s32,vgg16,0.32518924838649366,0.7451344622860271,1763.0,0.744881619545956,249570.0,0.8178941288173591,0.05306723691175109,0.8178094986968996,-0.032624113475177303,0.03971631205673759
vit-s32,vit-ti16,0.6185817289383779,0.5363920277449717,2090.0,0.5360133695378217,250627.5,0.6471562735291685,0.20960330578463326,0.6470785066384059,-0.029787234042553193,0.04539007092198582
vit-s32,vit-s16,-0.8817779451699835,0.37819785771869185,896.0,0.3778216371000638,246045.0,0.5827805863738778,0.3018832449349669,0.5827041970658444,-0.0425531914893617,0.02553191489361702
vit-s32,vit-b16,-1.8145866787116234,0.07001293358540307,1224.5,0.07004133687461596,242872.5,0.19970431908018305,1.6448270830297549,0.19966445763067775,-0.05815602836879433,0.01276595744680851
vit-s32,vit-b32,-0.2580279051743929,0.7964607809269552,884.5,0.7962534147376392,247807.5,0.8767167701181764,0.02410030103875432,0.8766299735479967,-0.03687943262411347,0.032624113475177303
vit-s32,vim-s,-0.942734649421804,0.346140040968008,1168.0,0.3457785861511603,245692.5,0.529187231061605,0.3960924871728597,0.5291141904981571,-0.04680851063829787,0.02553191489361702
vit-s32,vssm-ti,-2.468544509739753,0.013802849646833525,1174.5,0.013906296895346055,240757.5,0.07353835394274569,3.2026336551815704,0.07351978942507659,-0.06666666666666667,0.0014184397163120568
vit-s32,vssm-s,-1.3249537470366022,0.18561637208289866,1015.0,0.1854218947059597,244635.0,0.38361595741061083,0.7592778156311513,0.3835546229164114,-0.04826241134751773,0.02127659574468085
vit-s32,vssm-b,-1.7482874638838377,0.08085014814908871,1445.0,0.08085559837005224,242872.5,0.19970431908018305,1.6448270830297549,0.19966445763067775,-0.059574468085106386,0.009929078014184398
vit-b16,resnet50,0.6543881449737904,0.5130754876421251,1657.5,0.5126907602619235,250627.5,0.6220593417101485,0.24309868875029356,0.6219769819128392,-0.02553191489361702,0.0425531914893617
vit-b16,vgg16,2.0183818007537,0.043930252268278805,1575.0,0.044009956390248774,255210.0,0.13052531218514213,2.286587037926205,0.13049659762213947,-0.005673758865248227,0.05673758865248227
vit-b16,vit-ti16,2.500269680533923,0.012636213658894538,1106.0,0.012738072274857487,256267.5,0.08210771598307094,3.023069011985526,0.08208798523632684,-0.0028723404255319132,0.06382978723404255
vit-b16,vit-s16,1.0996882113158883,0.2718438930637373,986.0,0.2715391358765703,251685.0,0.46305195944059196,0.5386772014784333,0.46298145460576134,-0.019858156028368795,0.04680851063829787
vit-b16,vit-s32,1.8145866787116234,0.07001293358540307,1224.5,0.07004133687461596,254152.5,0.19970431908018305,1.6448270830297549,0.19966445763067775,-0.011347517730496455,0.06099290780141844
vit-b16,vit-b32,1.752569122988336,0.08011129134034135,812.5,0.08011831372763417,253447.5,0.2595211967112111,1.2715669662594398,0.25947292382738596,-0.01276595744680851,0.05390070921985816
vit-b16,vim-s,0.9175600450139461,0.35916347332705234,1309.0,0.3587953578869416,251332.5,0.5131550528692372,0.4277798861466884,0.5130803398338111,-0.022730496453900708,0.04822695035460993
vit-b16,vssm-ti,-0.6879900763359236,0.49168564726500885,1347.5,0.4912971242158931,246397.5,0.6106904300396039,0.2592933382400996,0.6106060569702471,-0.03829787234042553,0.024113475177304965
vit-b16,vssm-s,0.6506782974808714,0.5154664745347264,810.0,0.5150822787096432,250275.0,0.6804706345655427,0.16969279461872772,0.6803849752172233,-0.02553191489361702,0.03971631205673759
vit-b16,vssm-b,0.0,1.0,1387.5,1.0,248512.5,1.0,0.0,1.0,-0.032624113475177303,0.03546099290780142
vit-b32,resnet50,-0.843101075700617,0.3994582711899064,1865.5,0.3990751965482372,245692.5,0.5253713186904111,0.4034792568982081,0.5252978719229965,-0.04822695035460993,0.024113475177304965
vit-b32,vgg16,0.5182068093175445,0.6044768031811876,2068.0,0.6041263073291684,250275.0,0.6998851192046587,0.14867574126727914,0.6998040929766376,-0.029787234042553193,0.0425531914893617
vit-b32,vit-ti16,0.843101075700617,0.3994582711899064,1865.5,0.3990751965482372,251332.5,0.5399471780127743,0.375770910423217,0.5398753093800415,-0.02553191489361702,0.04684397163120564
vit-b32,vit-s16,-0.6296711006361544,0.5291140870727504,928.0,0.5287333251214301,246750.0,0.6934791153291988,0.15543298400330993,0.693396547615801,-0.04113475177304964,0.02553191489361702
vit-b32,vit-s32,0.2580279051743929,0.7964607809269552,884.5,0.7962534147376392,249217.5,0.8767167701181764,0.02410030103875432,0.8766299735479967,-0.032624113475177303,0.03829787234042553
vit-b32,vit-b16,-1.752569122988336,0.08011129134034135,812.5,0.08011831372763417,243577.5,0.2595211967112111,1.2715669662594398,0.25947292382738596,-0.05531914893617021,0.015638297872340393
vit-b32,vim-s,-0.6791065593593928,0.49729354506246126,1422.0,0.49690584756476797,246397.5,0.6354441958138841,0.2248563727918702,0.6353642608296769,-0.0425531914893617,0.029787234042553193
vit-b32,vssm-ti,-2.301135321604091,0.021675263090156778,1078.0,0.021781462791119498,241462.5,0.10204776135364828,2.6736242884232357,0.10202345374850445,-0.062411347517730496,0.0057092198581559965
vit-b32,vssm-s,-1.0534523214433646,0.2924951572945814,1184.0,0.29217129931682506,245340.0,0.47388821711765183,0.5130569254077753,0.4738185223981547,-0.04400709219858156,0.02269503546099291
vit-b32,vssm-b,-1.5475701741616095,0.12217521039451033,1411.0,0.12209457811740836,243577.5,0.2595211967112111,1.2715669662594398,0.25947292382738596,-0.05531914893617021,0.014184397163120567
vim-s,resnet50,-0.2234560792073122,0.8232453869509511,1579.5,0.8230632737581214,247807.5,0.8721116239080735,0.02595034624889002,0.8720216407022902,-0.03546099290780142,0.031205673758865248
vim-s,vgg16,1.2380642589816129,0.2161049426914176,1360.0,0.21586564200583258,252390.0,0.39011103741528375,0.7387864054514878,0.3900499132474172,-0.024113475177304965,0.04964539007092199
vim-s,vit-ti16,1.47696555867666,0.1401320461001111,1729.0,0.140016503197169,253447.5,0.2772185263347725,1.18091475095824,0.2771698491129385,-0.014184397163120567,0.0524822695035461
vim-s,vit-s16,0.12208406092524177,0.9028672848983319,1122.0,0.9027648250246224,248865.0,0.936355302850116,0.006394401606671106,0.9362650908523127,-0.032624113475177303,0.03546099290780142
vim-s,vit-s32,0.942734649421804,0.346140040968008,1168.0,0.3457785861511603,251332.5,0.529187231061605,0.3960924871728597,0.5291141904981571,-0.022730496453900708,0.04680851063829787
vim-s,vit-b16,-0.9175600450139461,0.35916347332705234,1309.0,0.3587953578869416,245692.5,0.5131550528692372,0.4277798861466884,0.5130803398338111,-0.04539007092198582,0.024113475177304965
vim-s,vit-b32,0.6791065593593928,0.49729354506246126,1422.0,0.49690584756476797,250627.5,0.6354441958138841,0.2248563727918702,0.6353642608296769,-0.02553191489361702,0.04680851063829787
vim-s,vssm-ti,-1.5668620167720178,0.11759630001060233,1336.5,0.11752486809663916,243577.5,0.24506978270905677,1.3514661551114304,0.24502196507519097,-0.05390070921985816,0.014184397163120567
vim-s,vssm-s,-0.35581389061871005,0.7220865377239307,1224.0,0.721814730439508,247455.0,0.8086922811649887,0.05867437825179388,0.8086035412578874,-0.03829787234042553,0.028368794326241134
vim-s,vssm-b,-0.9175600450139461,0.35916347332705234,1309.0,0.3587953578869416,245692.5,0.5131550528692372,0.4277798861466884,0.5130803398338111,-0.04397163120567376,0.02127659574468085
vssm-ti,resnet50,1.3959098034789845,0.16318170669409016,1162.5,0.1630243843065704,252742.5,0.31650752712496677,1.0035612535618854,0.316450320431929,-0.01702127659574468,0.04968085106382976
vssm-ti,vgg16,2.9019050004400473,0.003824854311479483,950.0,0.003892417122778628,257325.0,0.04354424009936458,4.074609600924372,0.04353232455453235,0.002801418439716314,0.07234042553191489
vssm-ti,vit-ti16,3.0017190669126754,0.0027795690190706235,1335.0,0.0028375448887923097,258382.5,0.02481467986825986,5.03728294177622,0.024807369918291154,0.00425531914893617,0.07234042553191489
vssm-ti,vit-s16,1.7345163615679757,0.08326420513282418,1140.0,0.0832645166635504,253800.0,0.21417595438250725,1.5432639649515,0.214132623655954,-0.009929078014184398,0.05390070921985816
vssm-ti,vit-s32,2.468544509739753,0.013802849646833525,1174.5,0.013906296895346055,256267.5,0.07353835394274569,3.2026336551815704,0.07351978942507659,-0.0028368794326241137,0.06666666666666667
vssm-ti,vit-b16,0.6879900763359236,0.49168564726500885,1347.5,0.4912971242158931,250627.5,0.6106904300396039,0.2592933382400996,0.6106060569702471,-0.02556737588652482,0.04397163120567376
vssm-ti,vit-b32,2.301135321604091,0.021675263090156778,1078.0,0.021781462791119498,255562.5,0.10204776135364828,2.6736242884232357,0.10202345374850445,-0.0070921985815602835,0.062411347517730496
vssm-ti,vim-s,1.5668620167720178,0.11759630001060233,1336.5,0.11752486809663916,253447.5,0.24506978270905677,1.3514661551114304,0.24502196507519097,-0.012801418439716309,0.05390070921985816
vssm-ti,vssm-s,1.3652176966901124,0.17262072888729263,891.0,0.1724473447164434,252390.0,0.35722935624333685,0.847828573415922,0.3571673504335202,-0.018439716312056736,0.0482624113475177
vssm-ti,vssm-b,0.8015804285597014,0.4230661694971142,712.5,0.4226780741706355,250627.5,0.6106904300396039,0.2592933382400996,0.6106060569702471,-0.02553191489361702,0.04397163120567376
vssm-s,resnet50,0.11103325313006208,0.9116216241603415,1640.0,0.9115282379093772,248865.0,0.9354202757796275,0.006584081381060703,0.935328744230807,-0.031241134751773047,0.03546099290780142
vssm-s,vgg16,1.528973809722043,0.1267201076106412,1487.5,0.12663045794761718,253447.5,0.2707807759067429,1.2130332419710195,0.27073222703672667,-0.015602836879432624,0.05393617021276593
vssm-s,vit-ti16,1.8256042780177706,0.06833338846351393,1540.0,0.06836531288935432,254505.0,0.18409591405651304,1.7645394312055946,0.18405931374286424,-0.009929078014184398,0.0581914893617021
vssm-s,vit-s16,0.49973387738733965,0.6174186240065025,975.0,0.6170750774519738,249922.5,0.7474011995027412,0.1038013850011104,0.7473146508449449,-0.028404255319148933,0.0383333333333333
vssm-s,vit-s32,1.3249537470366022,0.18561637208289866,1015.0,0.1854218947059597,252390.0,0.38361595741061083,0.7592778156311513,0.3835546229164114,-0.02269503546099291,0.04964539007092199
vssm-s,vit-b16,-0.6506782974808714,0.5154664745347264,810.0,0.5150822787096432,246750.0,0.6804706345655427,0.16969279461872772,0.6803849752172233,-0.04113475177304964,0.02553191489361702
vssm-s,vit-b32,1.0534523214433646,0.2924951572945814,1184.0,0.29217129931682506,251685.0,0.47388821711765183,0.5130569254077753,0.4738185223981547,-0.02269503546099291,0.04964539007092199
vssm-s,vim-s,0.35581389061871005,0.7220865377239307,1224.0,0.721814730439508,249570.0,0.8086922811649887,0.05867437825179388,0.8086035412578874,-0.029787234042553193,0.03836879432624107
vssm-s,vssm-ti,-1.3652176966901124,0.17262072888729263,891.0,0.1724473447164434,244635.0,0.35722935624333685,0.847828573415922,0.3571673504335202,-0.04826241134751773,0.015602836879432624
vssm-s,vssm-b,-0.6296711006361544,0.5291140870727504,928.0,0.5287333251214301,246750.0,0.6804706345655427,0.16969279461872772,0.6803849752172233,-0.04113475177304964,0.02695035460992908
vssm-b,resnet50,0.6623253252228944,0.5079795061909018,1577.0,0.5075937168646562,250627.5,0.6220593417101485,0.24309868875029356,0.6219769819128392,-0.02553191489361702,0.04113475177304964
vssm-b,vgg16,2.090499819864423,0.03693102925230555,1344.0,0.03702203943241622,255210.0,0.13052531218514213,2.286587037926205,0.13049659762213947,-0.00851063829787234,0.06099290780141844
vssm-b,vit-ti16,2.4379971338725177,0.015015235503036248,1245.0,0.015119932959784704,256267.5,0.08210771598307094,3.023069011985526,0.08208798523632684,-0.0028368794326241137,0.06524822695035461
vssm-b,vit-s16,1.1165078220434264,0.26458574561322196,924.0,0.2642883452260276,251685.0,0.46305195944059196,0.5386772014784333,0.46298145460576134,-0.018439716312056736,0.04822695035460993
vssm-b,vit-s32,1.7482874638838377,0.08085014814908871,1445.0,0.08085559837005224,254152.5,0.19970431908018305,1.6448270830297549,0.19966445763067775,-0.01276595744680851,0.05815602836879433
vssm-b,vit-b16,0.0,1.0,1387.5,1.0,248512.5,1.0,0.0,1.0,-0.028368794326241134,0.032659574468085074
vssm-b,vit-b32,1.5475701741616095,0.12217521039451033,1411.0,0.12209457811740836,253447.5,0.2595211967112111,1.2715669662594398,0.25947292382738596,-0.01702127659574468,0.05390070921985816
vssm-b,vim-s,0.9175600450139461,0.35916347332705234,1309.0,0.3587953578869416,251332.5,0.5131550528692372,0.4277798861466884,0.5130803398338111,-0.02127659574468085,0.04822695035460993
vssm-b,vssm-ti,-0.8015804285597014,0.4230661694971142,712.5,0.4226780741706355,246397.5,0.6106904300396039,0.2592933382400996,0.6106060569702471,-0.03971631205673759,0.024113475177304965
vssm-b,vssm-s,0.6296711006361544,0.5291140870727504,928.0,0.5287333251214301,250275.0,0.6804706345655427,0.16969279461872772,0.6803849752172233,-0.026985815602836877,0.04113475177304964
