Model 1,Model 2,T-test_stats,T-test_p-value,Wilcoxon_stats,Wilcoxon_p-value,Mann-Whitney_stats,Mann-Whitney_p-value,Kruskal-Wallis_stats,Kruskal-Wallis_p-value,Bootstrap CI_lower,Bootstrap CI_upper
vit-s16,vssm-b,-2.295813172438838,0.022039954010187428,308.0,0.022167905752988798,166725.0,0.18085660189019326,1.7909792252541157,0.18080689960782836,-0.06324786324786325,0.008589743589743551
vit-s32,resnet50,-0.9648443130126312,0.3350221533417813,1716.0,0.3345942595854855,168480.0,0.463041487688149,0.538737262533538,0.46295651739755705,-0.05811965811965812,0.02564102564102564
vit-s32,vgg16,-0.9175389074229123,0.35923907652602427,1309.0,0.3587953578869416,168772.5,0.5151842558414984,0.42370424066806134,0.5150944635473168,-0.05816239316239316,0.025683760683760645
vit-s32,vit-ti16,-1.2381604002413507,0.21615408934938674,1360.0,0.21586564200583258,167895.0,0.3675032827573872,0.8123417085439001,0.36742882832815127,-0.05987179487179487,0.022222222222222223
vit-s32,vit-s16,-1.753098427728536,0.08010976891532613,812.5,0.08011831372763417,167017.5,0.24801334132992625,1.3347858507713914,0.24795559129098374,-0.065,0.015384615384615385
vit-s32,vit-b16,-2.0985362065749125,0.03628669560847433,1050.0,0.03639761000366493,165847.5,0.13365130608004186,2.2500000000012697,0.13361440253760629,-0.07012820512820513,0.010256410256410256
vit-s32,vit-b32,-1.3653895888799275,0.17265632364540773,891.0,0.1724473447164434,167895.0,0.3675032827573872,0.8123417085439001,0.36742882832815127,-0.05982905982905983,0.022222222222222223
vit-s32,vim-s,-2.535252632838749,0.011496387490872952,1039.5,0.011616891434158356,164677.5,0.06406606585055666,3.4293992144705183,0.06404539569133973,-0.07867521367521367,0.005128205128205128
vit-s32,vssm-ti,-3.0863767520278476,0.002122117394340671,839.5,0.0021830447373622506,163507.5,0.0270208113915368,4.890123762377427,0.027010749868975045,-0.08205128205128205,-0.005085470085470124
vit-s32,vssm-s,-2.2230996543886055,0.02659106025581863,804.0,0.026715698447179453,165847.5,0.13365130608004186,2.2500000000012697,0.13361440253760629,-0.0735042735042735,0.008547008547008548
vit-s32,vssm-b,-3.819065154789881,0.00014828971610380382,450.0,0.00015970085178379595,162630.0,0.012913814222333304,6.181607258506039,0.01290849685007829,-0.08888888888888889,-0.011965811965811967
vit-b16,resnet50,1.0997217570531346,0.2719064894055092,986.0,0.2715391358765703,173745.0,0.4428738336764949,0.5890487654676368,0.4427871911132836,-0.023931623931623933,0.05299145299145299
vit-b16,vgg16,1.2706682229944373,0.20435264716801607,819.0,0.2040841777655732,174037.5,0.39511461894186883,0.7233910891090336,0.3950338182193427,-0.023931623931623933,0.05641025641025641
vit-b16,vit-ti16,0.868060219307276,0.38571792986638964,957.0,0.3852612410903167,173160.0,0.5485122860194067,0.3601649889032333,0.5484146191722671,-0.02568376068376068,0.05128205128205128
vit-b16,vit-s16,0.5440033981688267,0.5866467553219059,687.5,0.58621368107314,172282.5,0.7296429493451196,0.11954187544804414,0.7295318945941305,-0.03076923076923077,0.04619658119658116
vit-b16,vit-s32,2.0985362065749125,0.03628669560847433,1050.0,0.03639761000366493,176377.5,0.13365130608004186,2.2500000000012697,0.13361440253760629,-0.008589743589743588,0.07008547008547009
vit-b16,vit-b32,0.8961072446761954,0.37056470572224864,837.0,0.37011489991724633,173160.0,0.5485122860194067,0.3601649889032333,0.5484146191722671,-0.022222222222222223,0.05128205128205128
vit-b16,vim-s,-0.5249004039234871,0.5998516266859812,796.5,0.5994262792958636,169942.5,0.7236734886524129,0.12510702054863262,0.7235601938434879,-0.044444444444444446,0.032521367521367486
vit-b16,vssm-ti,-1.1799310169657105,0.23850805751222623,446.5,0.23818494999202244,168772.5,0.4741433407291804,0.5125226064572506,0.47404887340078616,-0.047905982905982906,0.022222222222222223
vit-b16,vssm-s,0.0,1.0,588.0,1.0,171112.5,1.0,1.3562161086734853e-12,0.9999990708100354,-0.039316239316239315,0.03764957264957261
vit-b16,vssm-b,-1.5734092258304102,0.11616566052875074,475.0,0.11608313373865504,167895.0,0.32054675398834953,0.987021052412665,0.3204715468390128,-0.0547008547008547,0.020512820512820513
vit-b32,resnet50,0.22627169030352562,0.8210692866194899,1501.0,0.8208472385419284,171697.5,0.8670888179890078,0.02805644890333662,0.8669761803918845,-0.03423076923076923,0.044444444444444446
vit-b32,vgg16,0.32904170924360077,0.7422421268643626,1680.0,0.741934400848354,171990.0,0.8022165165644529,0.06281156530474258,0.802106095694344,-0.037606837606837605,0.046153846153846156
vit-b32,vit-ti16,0.0,1.0,1387.5,1.0,171112.5,1.0,1.257704169053019e-12,0.999999105193126,-0.039358974358974355,0.03764957264957261
vit-b32,vit-s16,-0.3557686112134554,0.7221423289611869,1224.0,0.721814730439508,170235.0,0.799229375598713,0.06476494161311973,0.7991173602803994,-0.044444444444444446,0.03418803418803419
vit-b32,vit-s32,1.3653895888799275,0.17265632364540773,891.0,0.1724473447164434,174330.0,0.3675032827573872,0.8123417085439001,0.36742882832815127,-0.022264957264957263,0.06158119658119655
vit-b32,vit-b16,-0.8961072446761954,0.37056470572224864,837.0,0.37011489991724633,169065.0,0.5485122860194067,0.3601649889032333,0.5484146191722671,-0.05132478632478632,0.02735042735042735
vit-b32,vim-s,-1.3062476409557966,0.19198258528954554,1080.0,0.19173631900210797,167895.0,0.3404418037771435,0.9090494277042347,0.34036675936491134,-0.0547008547008547,0.017094017094017096
vit-b32,vssm-ti,-1.8939967231290522,0.058719328457792874,768.0,0.05878172135535886,166725.0,0.18859410457321113,1.7289602902802532,0.18854373256407186,-0.06329059829059829,0.013675213675213675
vit-b32,vssm-s,-0.8424919217170853,0.39985755199199935,1085.0,0.39939570366685395,169065.0,0.5485122860194067,0.3601649889032333,0.5484146191722671,-0.05128205128205128,0.02735042735042735
vit-b32,vssm-b,-2.189890508211816,0.02892699335576228,862.5,0.029049022161940583,165847.5,0.11149259117060785,2.5334171660973195,0.11145860574279871,-0.06666666666666667,0.006837606837606838
vim-s,resnet50,1.6951638920003762,0.09057738568184481,690.0,0.09055909266543183,174915.0,0.26251968944573034,1.2557508342609243,0.262456934839721,-0.020512820512820513,0.05982905982905983
vim-s,vgg16,1.7813009879056876,0.07538291603321406,756.0,0.07540356287126339,175207.5,0.22883123870456545,1.4484650786426818,0.22877440337506005,-0.015384615384615385,0.06158119658119655
vim-s,vit-ti16,1.43336820017698,0.15228777464753462,720.0,0.15212149388422935,174330.0,0.3404418037771435,0.9090494277042347,0.34036675936491134,-0.018803418803418803,0.05811965811965812
vim-s,vit-s16,1.0691757456754662,0.28543220211178044,684.0,0.28504940740261275,173452.5,0.4844700060795528,0.48899346405361827,0.48437664091990484,-0.023931623931623933,0.05128205128205128
vim-s,vit-s32,2.535252632838749,0.011496387490872952,1039.5,0.011616891434158356,177547.5,0.06406606585055666,3.4293992144705183,0.06404539569133973,-0.003418803418803419,0.07525641025641021
vim-s,vit-b16,0.5249004039234871,0.5998516266859812,796.5,0.5994262792958636,172282.5,0.7236734886524129,0.12510702054863262,0.7235601938434879,-0.03247863247863248,0.046153846153846156
vim-s,vit-b32,1.3062476409557966,0.19198258528954554,1080.0,0.19173631900210797,174330.0,0.3404418037771435,0.9090494277042347,0.34036675936491134,-0.017094017094017096,0.06153846153846154
vim-s,vssm-ti,-0.5770210132351657,0.5641476170075608,539.0,0.5637028616507731,169942.5,0.7171690669326316,0.1313335580279096,0.717053347704552,-0.042777777777777776,0.029102564102564066
vim-s,vssm-s,0.5770210132351657,0.5641476170075608,539.0,0.5637028616507731,172282.5,0.7236734886524129,0.12510702054863262,0.7235601938434879,-0.02735042735042735,0.044444444444444446
vim-s,vssm-b,-1.021092142129946,0.3076335799373525,480.0,0.30722840973069676,169065.0,0.5220938476241754,0.40995526928007964,0.5219922097726919,-0.046153846153846156,0.023931623931623933
vssm-ti,resnet50,2.148407290558222,0.032091962936910974,736.0,0.03220968567371043,176085.0,0.13844133653468532,2.195640447393827,0.13840167344325774,-0.010256410256410256,0.06670940170940166
