Model 1,Model 2,T-test_stats,T-test_p-value,Wilcoxon_stats,Wilcoxon_p-value,Mann-Whitney_stats,Mann-Whitney_p-value,Kruskal-Wallis_stats,Kruskal-Wallis_p-value,Bootstrap CI_lower,Bootstrap CI_upper
vgg16,vit-ti16,0.6867302343680848,0.49358877210379204,80.0,0.4912971242158931,7380.0,0.6375824476744323,0.22315592903813256,0.6366457087466828,-0.08333333333333333,0.13333333333333333
vgg16,vit-s16,-0.7261724589773787,0.4691589322515105,63.0,0.46685427082272546,7020.0,0.6214976189511181,0.24512820512804104,0.6205265434012444,-0.125,0.075
vgg16,vit-s32,0.2762806207433527,0.7828117937826756,42.0,0.7815112949987133,7260.0,0.8740856292175906,0.025536916337120675,0.8730364640723132,-0.09166666666666666,0.10833333333333334
vgg16,vit-b16,0.9423691959590663,0.3479128598084593,66.5,0.3457785861511603,7440.0,0.5325445131144622,0.3911620294597888,0.5316892214078268,-0.075,0.14166666666666666
vgg16,vit-b32,0.7261724589773787,0.4691589322515105,63.0,0.46685427082272546,7380.0,0.6375824476744323,0.22315592903813256,0.6366457087466828,-0.075,0.13333333333333333
vgg16,vim-s,-1.0919637217138112,0.2770548869278661,88.0,0.27523352407483426,6900.0,0.40177799969560457,0.7053476567110892,0.40099261707912526,-0.13333333333333333,0.05
vgg16,vssm-ti,-2.218190148399446,0.028439625999785563,36.0,0.02904902216194057,6660.0,0.11640740383761942,2.4695752009185017,0.11606929036816478,-0.16666666666666666,0.008333333333333333
vgg16,vssm-s,-0.8936765176062337,0.37329881405261756,84.0,0.37109336952269756,6960.0,0.50636657145207,0.44341372912788674,0.5054793790861385,-0.13333333333333333,0.06666666666666667
vgg16,vssm-b,-0.46987149389936467,0.6393067430537023,76.0,0.6373518882339371,7080.0,0.7444707940873838,0.10712684894650745,0.7434391913626113,-0.125,0.07520833333333314
vit-ti16,resnet50,-0.2571922625628131,0.7974745382860159,56.0,0.7962534147376392,7140.0,0.8776138715626187,0.024114620118970073,0.8765936226962385,-0.125,0.0918749999999998
vit-ti16,vgg16,-0.6867302343680848,0.49358877210379204,80.0,0.4912971242158931,7020.0,0.6375824476744323,0.22315592903813256,0.6366457087466828,-0.13333333333333333,0.075
vit-ti16,vit-s16,-1.6142612601615625,0.10911932890993563,30.0,0.10880943004054568,6840.0,0.3346026303128228,0.9335937499998487,0.33393082924224043,-0.15,0.041666666666666664
vit-ti16,vit-s32,-0.46987149389936467,0.6393067430537023,76.0,0.6373518882339371,7080.0,0.7554876149379934,0.09779050736483555,0.7544973974556898,-0.125,0.08333333333333333
vit-ti16,vit-b16,0.22850795207108038,0.819643587726001,90.0,0.8185458083820434,7260.0,0.8791996693160944,0.023488943488856256,0.8781924306600554,-0.1,0.125
vit-ti16,vit-b32,0.0,1.0,126.5,1.0,7200.0,1.0,0.0,1.0,-0.10833333333333334,0.10833333333333334
vit-ti16,vim-s,-2.170914850271358,0.0319230591817774,22.5,0.03250944464571951,6720.0,0.1909256276532667,1.714029583146565,0.19046338627629913,-0.16666666666666666,0.025
vit-ti16,vssm-ti,-2.915475947422651,0.004244998453917348,28.5,0.0046777349810472576,6480.0,0.04206014749297353,4.138528138527993,0.04191760162264646,-0.18354166666666663,-0.00812500000000019
vit-ti16,vssm-s,-1.6166713260902543,0.10859720363083693,60.0,0.10829365589900902,6780.0,0.2564232582250493,1.291037371844357,0.2558568642385486,-0.15833333333333333,0.041666666666666664
vit-ti16,vssm-b,-1.148603702602394,0.2530229918234551,70.0,0.25134910881022265,6900.0,0.4250550402427393,0.6384229084303491,0.4242824624611762,-0.14166666666666666,0.058333333333333334
vit-s16,resnet50,1.2946259452166746,0.19795574088135842,40.0,0.19670560245894686,7500.0,0.41779875325208915,0.6586925366552351,0.41702190678757034,-0.058333333333333334,0.14166666666666666
vit-s16,vgg16,0.7261724589773787,0.4691589322515105,63.0,0.46685427082272546,7380.0,0.6214976189511181,0.24512820512804104,0.6205265434012444,-0.075,0.11666666666666667
vit-s16,vit-ti16,1.6142612601615625,0.10911932890993563,30.0,0.10880943004054568,7560.0,0.3346026303128228,0.9335937499998487,0.33393082924224043,-0.05,0.15833333333333333
vit-s16,vit-s32,1.1563211715113553,0.24986593792932935,26.0,0.24821307898992362,7440.0,0.5136009200258198,0.428507395786519,0.5127222566621915,-0.058333333333333334,0.13333333333333333
vit-s16,vit-b16,2.141897803314305,0.034239844526017894,12.0,0.034808478811867126,7620.0,0.26387141658765734,1.2513089005235776,0.26330263156385236,-0.041666666666666664,0.16666666666666666
vit-s16,vit-b32,1.5079407648573175,0.1342199961828842,42.5,0.13361440253771614,7560.0,0.3346026303128228,0.9335937499998487,0.33393082924224043,-0.041666666666666664,0.15833333333333333
vit-s16,vim-s,-0.5757398050506645,0.5658782482417656,32.5,0.5637028616507731,7080.0,0.7306602720754498,0.11949999999982903,0.7295774137184228,-0.11666666666666667,0.075
vit-s16,vssm-ti,-1.746791931307805,0.08325353681060127,19.5,0.0832645166635504,6840.0,0.27974741840587825,1.1715686274507906,0.2790791641114319,-0.14166666666666666,0.041666666666666664
